7557 samples, Overall winrate: 54.7042%
Morbid Mask              : buildrate 5.8648%, winrate 62.7119%
Crystalys                : buildrate 4.7714%, winrate 64.5833%
Observer and Sentry Wards: buildrate 4.6720%, winrate 61.7021%
Spirit Vessel            : buildrate 4.1750%, winrate 69.0476%
Gem of True Sight        : buildrate 4.0755%, winrate 80.4878%
Medallion of Courage     : buildrate 4.0755%, winrate 46.3415%
Yasha                    : buildrate 3.9761%, winrate 57.5000%
Blink Dagger             : buildrate 3.8767%, winrate 64.1026%
Arcane Boots             : buildrate 3.7773%, winrate 68.4211%
Sentry Ward              : buildrate 3.2803%, winrate 33.3333%
Glimmer Cape             : buildrate 3.2803%, winrate 57.5758%


